Title,All_Words
The Treasure of the Sierra Madre,humphreybogart walterhuston timholt johnhuston adventure  drama  western T h e   T r e a s u r e   o f   t h e   S i e r r a   M a d r e mine gold two americans searching old prospector mexico convince work fred dobbs bob curtin sierra madre mountains help h u m p h r e y b o g a r t   w a l t e r h u s t o n   t i m h o l t   j o h n h u s t o n   a d v e n t u r e     d r a m a     w e s t e r n   T   h   e       T   r   e   a   s   u   r   e       o   f       t   h   e       S   i   e   r   r   a       M   a   d   r   e   m i n e   g o l d   t w o   a m e r i c a n s   s e a r c h i n g   o l d   p r o s p e c t o r   m e x i c o   c o n v i n c e   w o r k   f r e d   d o b b s   b o b   c u r t i n   s i e r r a   m a d r e   m o u n t a i n s   h e l p   
Indiana Jones and the Last Crusade,harrisonford seanconnery denholmelliott stevenspielberg action  adventure  fantasy I n d i a n a   J o n e s   a n d   t h e   L a s t   C r u s a d e henry jones sr footsteps nazis dr suddenly goes missing father getting hands holy grail first stop pursuing eminent archaeologist indiana must follow h a r r i s o n f o r d   s e a n c o n n e r y   d e n h o l m e l l i o t t   s t e v e n s p i e l b e r g   a c t i o n     a d v e n t u r e     f a n t a s y   I   n   d   i   a   n   a       J   o   n   e   s       a   n   d       t   h   e       L   a   s   t       C   r   u   s   a   d   e   h e n r y   j o n e s   s r   f o o t s t e p s   n a z i s   d r   s u d d e n l y   g o e s   m i s s i n g   f a t h e r   g e t t i n g   h a n d s   h o l y   g r a i l   f i r s t   s t o p   p u r s u i n g   e m i n e n t   a r c h a e o l o g i s t   i n d i a n a   m u s t   f o l l o w   
Some Like It Hot,marilynmonroe tonycurtis jacklemmon billywilder comedy  romance S o m e   L i k e   I t   H o t two male musicians witness complications set mob hit female band disguised state women flee m a r i l y n m o n r o e   t o n y c u r t i s   j a c k l e m m o n   b i l l y w i l d e r   c o m e d y     r o m a n c e   S   o   m   e       L   i   k   e       I   t       H   o   t   t w o   m a l e   m u s i c i a n s   w i t n e s s   c o m p l i c a t i o n s   s e t   m o b   h i t   f e m a l e   b a n d   d i s g u i s e d   s t a t e   w o m e n   f l e e   
Batman Begins,christianbale michaelcaine liamneeson christophernolan action  adventure B a t m a n   B e g i n s cast upon mentor scarecrow free crime league fight shadows corruption training batman begins ridden gotham city c h r i s t i a n b a l e   m i c h a e l c a i n e   l i a m n e e s o n   c h r i s t o p h e r n o l a n   a c t i o n     a d v e n t u r e   B   a   t   m   a   n       B   e   g   i   n   s   c a s t   u p o n   m e n t o r   s c a r e c r o w   f r e e   c r i m e   l e a g u e   f i g h t   s h a d o w s   c o r r u p t i o n   t r a i n i n g   b a t m a n   b e g i n s   r i d d e n   g o t h a m   c i t y   
Up,"edwardasner christopherplummer jordannagai petedocter,bobpeterson animation  adventure  comedy U p eight year old carl fredricksen travels seventy inadvertently taking home equipped young stowaway balloons paradise falls e d w a r d a s n e r   c h r i s t o p h e r p l u m m e r   j o r d a n n a g a i   p e t e d o c t e r , b o b p e t e r s o n   a n i m a t i o n     a d v e n t u r e     c o m e d y   U   p   e i g h t   y e a r   o l d   c a r l   f r e d r i c k s e n   t r a v e l s   s e v e n t y   i n a d v e r t e n t l y   t a k i n g   h o m e   e q u i p p e d   y o u n g   s t o w a w a y   b a l l o o n s   p a r a d i s e   f a l l s   "
The Third Man,josephcotten alidavalli orsonwelles carolreed film-noir  mystery  thriller T h e   T h i r d   M a n shadowy mysterious death find pulp novelist holly martins travels old friend harry lime postwar vienna investigating j o s e p h c o t t e n   a l i d a v a l l i   o r s o n w e l l e s   c a r o l r e e d   f i l m - n o i r     m y s t e r y     t h r i l l e r   T   h   e       T   h   i   r   d       M   a   n   s h a d o w y   m y s t e r i o u s   d e a t h   f i n d   p u l p   n o v e l i s t   h o l l y   m a r t i n s   t r a v e l s   o l d   f r i e n d   h a r r y   l i m e   p o s t w a r   v i e n n a   i n v e s t i g a t i n g   
Unforgiven,clinteastwood genehackman morganfreeman clinteastwood drama  western U n f o r g i v e n retired old west gunslinger william munny reluctantly takes young man one last job partner help c l i n t e a s t w o o d   g e n e h a c k m a n   m o r g a n f r e e m a n   c l i n t e a s t w o o d   d r a m a     w e s t e r n   U   n   f   o   r   g   i   v   e   n   r e t i r e d   o l d   w e s t   g u n s l i n g e r   w i l l i a m   m u n n y   r e l u c t a n t l y   t a k e s   y o u n g   m a n   o n e   l a s t   j o b   p a r t n e r   h e l p   
Judgment at Nuremberg,spencertracy burtlancaster richardwidmark stanleykramer drama  war J u d g m e n t   a t   N u r e m b e r g occupied germany tries four nazi judges war crimes 1948 american court s p e n c e r t r a c y   b u r t l a n c a s t e r   r i c h a r d w i d m a r k   s t a n l e y k r a m e r   d r a m a     w a r   J   u   d   g   m   e   n   t       a   t       N   u   r   e   m   b   e   r   g   o c c u p i e d   g e r m a n y   t r i e s   f o u r   n a z i   j u d g e s   w a r   c r i m e s   1 9 4 8   a m e r i c a n   c o u r t   
Raging Bull,robertdeniro cathymoriarty joepesci martinscorsese biography  drama  sport R a g i n g   B u l l journey top emotionally self life leads temper violence ring destroys outside destructive boxer r o b e r t d e n i r o   c a t h y m o r i a r t y   j o e p e s c i   m a r t i n s c o r s e s e   b i o g r a p h y     d r a m a     s p o r t   R   a   g   i   n   g       B   u   l   l   j o u r n e y   t o p   e m o t i o n a l l y   s e l f   l i f e   l e a d s   t e m p e r   v i o l e n c e   r i n g   d e s t r o y s   o u t s i d e   d e s t r u c t i v e   b o x e r   
The Great Escape,stevemcqueen jamesgarner richardattenborough johnsturges adventure  drama  history T h e   G r e a t   E s c a p e number war plan escape allied prisoners german camp several hundred world ii s t e v e m c q u e e n   j a m e s g a r n e r   r i c h a r d a t t e n b o r o u g h   j o h n s t u r g e s   a d v e n t u r e     d r a m a     h i s t o r y   T   h   e       G   r   e   a   t       E   s   c   a   p   e   n u m b e r   w a r   p l a n   e s c a p e   a l l i e d   p r i s o n e r s   g e r m a n   c a m p   s e v e r a l   h u n d r e d   w o r l d   i i   
Heat,alpacino robertdeniro valkilmer michaelmann action  crime  drama H e a t sides attempt clue group professional lives feel bank robbers start heat unknowingly leave police latest heist find balance personal a l p a c i n o   r o b e r t d e n i r o   v a l k i l m e r   m i c h a e l m a n n   a c t i o n     c r i m e     d r a m a   H   e   a   t   s i d e s   a t t e m p t   c l u e   g r o u p   p r o f e s s i o n a l   l i v e s   f e e l   b a n k   r o b b e r s   s t a r t   h e a t   u n k n o w i n g l y   l e a v e   p o l i c e   l a t e s t   h e i s t   f i n d   b a l a n c e   p e r s o n a l   
Die Hard,brucewillis bonniebedelia reginaldveljohnson johnmctiernan action  thriller D i e   H a r d german terrorist hans gruber los angeles tries taken hostage nypd john mcclane officer wife holly gennaro several others save christmas party nakatomi plaza b r u c e w i l l i s   b o n n i e b e d e l i a   r e g i n a l d v e l j o h n s o n   j o h n m c t i e r n a n   a c t i o n     t h r i l l e r   D   i   e       H   a   r   d   g e r m a n   t e r r o r i s t   h a n s   g r u b e r   l o s   a n g e l e s   t r i e s   t a k e n   h o s t a g e   n y p d   j o h n   m c c l a n e   o f f i c e r   w i f e   h o l l y   g e n n a r o   s e v e r a l   o t h e r s   s a v e   c h r i s t m a s   p a r t y   n a k a t o m i   p l a z a   
The Gold Rush,charleschaplin mackswain tommurray charleschaplin adventure  comedy  drama T h e   G o l d   R u s h klondike gold finds search prospector goes c h a r l e s c h a p l i n   m a c k s w a i n   t o m m u r r a y   c h a r l e s c h a p l i n   a d v e n t u r e     c o m e d y     d r a m a   T   h   e       G   o   l   d       R   u   s   h   k l o n d i k e   g o l d   f i n d s   s e a r c h   p r o s p e c t o r   g o e s   
Chinatown,jacknicholson fayedunaway johnhuston romanpolanski drama  mystery  thriller C h i n a t o w n web deceit caught adulterer finds expose corruption private detective hired murder j a c k n i c h o l s o n   f a y e d u n a w a y   j o h n h u s t o n   r o m a n p o l a n s k i   d r a m a     m y s t e r y     t h r i l l e r   C   h   i   n   a   t   o   w   n   w e b   d e c e i t   c a u g h t   a d u l t e r e r   f i n d s   e x p o s e   c o r r u p t i o n   p r i v a t e   d e t e c t i v e   h i r e d   m u r d e r   
On the Waterfront,marlonbrando karlmalden leej.cobb eliakazan crime  drama  thriller O n   t h e   W a t e r f r o n t ex stand corrupt union bosses prize fighter turned longshoreman struggles m a r l o n b r a n d o   k a r l m a l d e n   l e e j . c o b b   e l i a k a z a n   c r i m e     d r a m a     t h r i l l e r   O   n       t   h   e       W   a   t   e   r   f   r   o   n   t   e x   s t a n d   c o r r u p t   u n i o n   b o s s e s   p r i z e   f i g h t e r   t u r n e d   l o n g s h o r e m a n   s t r u g g l e s   
Mr. Smith Goes to Washington,jeanarthur jamesstewart clauderains frankcapra comedy  drama M r .   S m i t h   G o e s   t o   W a s h i n g t o n fill back naive man united states senate vacancy political corruption appointed plans promptly collide j e a n a r t h u r   j a m e s s t e w a r t   c l a u d e r a i n s   f r a n k c a p r a   c o m e d y     d r a m a   M   r   .       S   m   i   t   h       G   o   e   s       t   o       W   a   s   h   i   n   g   t   o   n   f i l l   b a c k   n a i v e   m a n   u n i t e d   s t a t e s   s e n a t e   v a c a n c y   p o l i t i c a l   c o r r u p t i o n   a p p o i n t e d   p l a n s   p r o m p t l y   c o l l i d e   
The General,"busterkeaton marionmack glencavender clydebruckman,busterkeaton action  adventure  comedy T h e   G e n e r a l pursues union spies steal single beloved locomotive enemy lines straight engineer handedly b u s t e r k e a t o n   m a r i o n m a c k   g l e n c a v e n d e r   c l y d e b r u c k m a n , b u s t e r k e a t o n   a c t i o n     a d v e n t u r e     c o m e d y   T   h   e       G   e   n   e   r   a   l   p u r s u e s   u n i o n   s p i e s   s t e a l   s i n g l e   b e l o v e d   l o c o m o t i v e   e n e m y   l i n e s   s t r a i g h t   e n g i n e e r   h a n d e d l y   "
Inside Out,"amypoehler phyllissmith richardkind petedocter,ronniedelcarmen animation  adventure  comedy I n s i d e   O u t young riley uprooted navigate best house fear san francisco anger conflict midwest life school disgust joy emotions new city sadness moved a m y p o e h l e r   p h y l l i s s m i t h   r i c h a r d k i n d   p e t e d o c t e r , r o n n i e d e l c a r m e n   a n i m a t i o n     a d v e n t u r e     c o m e d y   I   n   s   i   d   e       O   u   t   y o u n g   r i l e y   u p r o o t e d   n a v i g a t e   b e s t   h o u s e   f e a r   s a n   f r a n c i s c o   a n g e r   c o n f l i c t   m i d w e s t   l i f e   s c h o o l   d i s g u s t   j o y   e m o t i o n s   n e w   c i t y   s a d n e s s   m o v e d   "
The Bridge on the River Kwai,williamholden alecguinness jackhawkins davidlean adventure  drama  war T h e   B r i d g e   o n   t h e   R i v e r   K w a i allies men captors oversee differences plan railway bridge construction british colonel co japanese pow camp commander destroy settling oblivious operates w i l l i a m h o l d e n   a l e c g u i n n e s s   j a c k h a w k i n s   d a v i d l e a n   a d v e n t u r e     d r a m a     w a r   T   h   e       B   r   i   d   g   e       o   n       t   h   e       R   i   v   e   r       K   w   a   i   a l l i e s   m e n   c a p t o r s   o v e r s e e   d i f f e r e n c e s   p l a n   r a i l w a y   b r i d g e   c o n s t r u c t i o n   b r i t i s h   c o l o n e l   c o   j a p a n e s e   p o w   c a m p   c o m m a n d e r   d e s t r o y   s e t t l i n g   o b l i v i o u s   o p e r a t e s   
Room,brielarson jacobtremblay seanbridgers lennyabrahamson drama R o o m raised within young boy confines small shed b r i e l a r s o n   j a c o b t r e m b l a y   s e a n b r i d g e r s   l e n n y a b r a h a m s o n   d r a m a   R   o   o   m   r a i s e d   w i t h i n   y o u n g   b o y   c o n f i n e s   s m a l l   s h e d   
La La Land,ryangosling emmastone amiéeconn damienchazelle comedy  drama  music L a   L a   L a n d jazz pianist falls aspiring actress los angeles r y a n g o s l i n g   e m m a s t o n e   a m i é e c o n n   d a m i e n c h a z e l l e   c o m e d y     d r a m a     m u s i c   L   a       L   a       L   a   n   d   j a z z   p i a n i s t   f a l l s   a s p i r i n g   a c t r e s s   l o s   a n g e l e s   
Logan,hughjackman patrickstewart dafnekeen jamesmangold action  drama  sci-fi L o g a n young mutant arrives weary logan cares attempts hide ailing professor x somewhere legacy however pursued world upended dark forces mexican border near future h u g h j a c k m a n   p a t r i c k s t e w a r t   d a f n e k e e n   j a m e s m a n g o l d   a c t i o n     d r a m a     s c i - f i   L   o   g   a   n   y o u n g   m u t a n t   a r r i v e s   w e a r y   l o g a n   c a r e s   a t t e m p t s   h i d e   a i l i n g   p r o f e s s o r   x   s o m e w h e r e   l e g a c y   h o w e v e r   p u r s u e d   w o r l d   u p e n d e d   d a r k   f o r c e s   m e x i c a n   b o r d e r   n e a r   f u t u r e   
Blade Runner,harrisonford rutgerhauer seanyoung ridleyscott sci-fi  thriller B l a d e   R u n n e r blade runner must pursue find terminate four replicants returned space try ship stole earth creator h a r r i s o n f o r d   r u t g e r h a u e r   s e a n y o u n g   r i d l e y s c o t t   s c i - f i     t h r i l l e r   B   l   a   d   e       R   u   n   n   e   r   b l a d e   r u n n e r   m u s t   p u r s u e   f i n d   t e r m i n a t e   f o u r   r e p l i c a n t s   r e t u r n e d   s p a c e   t r y   s h i p   s t o l e   e a r t h   c r e a t o r   
"Lock, Stock and Two Smoking Barrels","jasonflemyng dexterfletcher nickmoran guyritchie comedy  crime L o c k ,   S t o c k   a n d   T w o   S m o k i n g   B a r r e l s debt collectors collide series sake hard gangsters botched card game unexpected events thugs london triggers four friends weed loan sharks two antique shotguns cash growers j a s o n f l e m y n g   d e x t e r f l e t c h e r   n i c k m o r a n   g u y r i t c h i e   c o m e d y     c r i m e   L   o   c   k   ,       S   t   o   c   k       a   n   d       T   w   o       S   m   o   k   i   n   g       B   a   r   r   e   l   s   d e b t   c o l l e c t o r s   c o l l i d e   s e r i e s   s a k e   h a r d   g a n g s t e r s   b o t c h e d   c a r d   g a m e   u n e x p e c t e d   e v e n t s   t h u g s   l o n d o n   t r i g g e r s   f o u r   f r i e n d s   w e e d   l o a n   s h a r k s   t w o   a n t i q u e   s h o t g u n s   c a s h   g r o w e r s   "
Casino,robertdeniro sharonstone joepesci martinscorsese crime  drama C a s i n o greed casino owner murder occur money deception power trophy wife two best friends gambling empire mafia underboss r o b e r t d e n i r o   s h a r o n s t o n e   j o e p e s c i   m a r t i n s c o r s e s e   c r i m e     d r a m a   C   a   s   i   n   o   g r e e d   c a s i n o   o w n e r   m u r d e r   o c c u r   m o n e y   d e c e p t i o n   p o w e r   t r o p h y   w i f e   t w o   b e s t   f r i e n d s   g a m b l i n g   e m p i r e   m a f i a   u n d e r b o s s   
A Beautiful Mind,russellcrowe edharris jenniferconnelly ronhoward biography  drama A   B e a u t i f u l   M i n d john nash accepts secret work nightmarish asocial mathematician cryptography life takes brilliant turn r u s s e l l c r o w e   e d h a r r i s   j e n n i f e r c o n n e l l y   r o n h o w a r d   b i o g r a p h y     d r a m a   A       B   e   a   u   t   i   f   u   l       M   i   n   d   j o h n   n a s h   a c c e p t s   s e c r e t   w o r k   n i g h t m a r i s h   a s o c i a l   m a t h e m a t i c i a n   c r y p t o g r a p h y   l i f e   t a k e s   b r i l l i a n t   t u r n   
The Elephant Man,anthonyhopkins johnhurt annebancroft davidlynch biography  drama T h e   E l e p h a n t   M a n mistreated revealed intelligence victorian surgeon rescues scraping monstrous facade side show freak heavily disfigured man sensitivity living behind person a n t h o n y h o p k i n s   j o h n h u r t   a n n e b a n c r o f t   d a v i d l y n c h   b i o g r a p h y     d r a m a   T   h   e       E   l   e   p   h   a   n   t       M   a   n   m i s t r e a t e d   r e v e a l e d   i n t e l l i g e n c e   v i c t o r i a n   s u r g e o n   r e s c u e s   s c r a p i n g   m o n s t r o u s   f a c a d e   s i d e   s h o w   f r e a k   h e a v i l y   d i s f i g u r e d   m a n   s e n s i t i v i t y   l i v i n g   b e h i n d   p e r s o n   
Warrior,joeledgerton tomhardy nicknolte gavino'connor action  drama  sport W a r r i o r older brother alcoholic former boxer returns home trained mixed martial arts tournament competition youngest son father path estranged puts collision course fighter j o e l e d g e r t o n   t o m h a r d y   n i c k n o l t e   g a v i n o ' c o n n o r   a c t i o n     d r a m a     s p o r t   W   a   r   r   i   o   r   o l d e r   b r o t h e r   a l c o h o l i c   f o r m e r   b o x e r   r e t u r n s   h o m e   t r a i n e d   m i x e d   m a r t i a l   a r t s   t o u r n a m e n t   c o m p e t i t i o n   y o u n g e s t   s o n   f a t h e r   p a t h   e s t r a n g e d   p u t s   c o l l i s i o n   c o u r s e   f i g h t e r   
V for Vendetta,"natalieportman hugoweaving stephenrea jamesmcteigue action  drama  thriller V   f o r   V e n d e t t a future british tyranny young woman alias known shadowy freedom fighter overthrow v "", plots help n a t a l i e p o r t m a n   h u g o w e a v i n g   s t e p h e n r e a   j a m e s m c t e i g u e   a c t i o n     d r a m a     t h r i l l e r   V       f   o   r       V   e   n   d   e   t   t   a   f u t u r e   b r i t i s h   t y r a n n y   y o u n g   w o m a n   a l i a s   k n o w n   s h a d o w y   f r e e d o m   f i g h t e r   o v e r t h r o w   v   "" ,   p l o t s   h e l p   "
The Wolf of Wall Street,leonardodicaprio jonahhill margotrobbie martinscorsese biography  comedy  crime T h e   W o l f   o f   W a l l   S t r e e t broker living fall involving crime true story rise based wealthy stock jordan belfort corruption federal government high life l e o n a r d o d i c a p r i o   j o n a h h i l l   m a r g o t r o b b i e   m a r t i n s c o r s e s e   b i o g r a p h y     c o m e d y     c r i m e   T   h   e       W   o   l   f       o   f       W   a   l   l       S   t   r   e   e   t   b r o k e r   l i v i n g   f a l l   i n v o l v i n g   c r i m e   t r u e   s t o r y   r i s e   b a s e d   w e a l t h y   s t o c k   j o r d a n   b e l f o r t   c o r r u p t i o n   f e d e r a l   g o v e r n m e n t   h i g h   l i f e   
Dial M for Murder,raymilland gracekelly robertcummings alfredhitchcock crime  film-noir  thriller D i a l   M   f o r   M u r d e r tennis pro carries brilliant plan b ex plot wife improvises things go wrong murder r a y m i l l a n d   g r a c e k e l l y   r o b e r t c u m m i n g s   a l f r e d h i t c h c o c k   c r i m e     f i l m - n o i r     t h r i l l e r   D   i   a   l       M       f   o   r       M   u   r   d   e   r   t e n n i s   p r o   c a r r i e s   b r i l l i a n t   p l a n   b   e x   p l o t   w i f e   i m p r o v i s e s   t h i n g s   g o   w r o n g   m u r d e r   
Hacksaw Ridge,andrewgarfield richardpyros jacobwarner melgibson biography  drama  history H a c k s a w   R i d g e american history refuses first man kill people receive doss battle wwii army medic desmond okinawa served shot honor without firing becomes medal a n d r e w g a r f i e l d   r i c h a r d p y r o s   j a c o b w a r n e r   m e l g i b s o n   b i o g r a p h y     d r a m a     h i s t o r y   H   a   c   k   s   a   w       R   i   d   g   e   a m e r i c a n   h i s t o r y   r e f u s e s   f i r s t   m a n   k i l l   p e o p l e   r e c e i v e   d o s s   b a t t l e   w w i i   a r m y   m e d i c   d e s m o n d   o k i n a w a   s e r v e d   s h o t   h o n o r   w i t h o u t   f i r i n g   b e c o m e s   m e d a l   
Gone with the Wind,"thomasmitchell barbarao'neil vivienleigh victorfleming,georgecukor,samwood drama  history  romance G o n e   w i t h   t h e   W i n d manipulative woman american civil war turbulent romance roguish man conduct reconstruction periods t h o m a s m i t c h e l l   b a r b a r a o ' n e i l   v i v i e n l e i g h   v i c t o r f l e m i n g , g e o r g e c u k o r , s a m w o o d   d r a m a     h i s t o r y     r o m a n c e   G   o   n   e       w   i   t   h       t   h   e       W   i   n   d   m a n i p u l a t i v e   w o m a n   a m e r i c a n   c i v i l   w a r   t u r b u l e n t   r o m a n c e   r o g u i s h   m a n   c o n d u c t   r e c o n s t r u c t i o n   p e r i o d s   "
The Message,anthonyquinn irenepapas michaelansara moustaphaakkad adventure  biography  drama T h e   M e s s a g e upon people 7th century urges peace ... lead exiled returning worship god mohammed angel gabriel mecca visited medina a n t h o n y q u i n n   i r e n e p a p a s   m i c h a e l a n s a r a   m o u s t a p h a a k k a d   a d v e n t u r e     b i o g r a p h y     d r a m a   T   h   e       M   e   s   s   a   g   e   u p o n   p e o p l e   7 t h   c e n t u r y   u r g e s   p e a c e   . . .   l e a d   e x i l e d   r e t u r n i n g   w o r s h i p   g o d   m o h a m m e d   a n g e l   g a b r i e l   m e c c a   v i s i t e d   m e d i n a   
Rebecca,laurenceolivier joanfontaine georgesanders alfredhitchcock drama  mystery  romance R e b e c c a memory self dead first wife tormented husband conscious bride l a u r e n c e o l i v i e r   j o a n f o n t a i n e   g e o r g e s a n d e r s   a l f r e d h i t c h c o c k   d r a m a     m y s t e r y     r o m a n c e   R   e   b   e   c   c   a   m e m o r y   s e l f   d e a d   f i r s t   w i f e   t o r m e n t e d   h u s b a n d   c o n s c i o u s   b r i d e   
Trainspotting,ewanmcgregor ewenbremner jonnyleemiller dannyboyle drama T r a i n s p o t t i n g friends tries clean deeply immersed allure drugs edinburgh drug scene influence despite get renton e w a n m c g r e g o r   e w e n b r e m n e r   j o n n y l e e m i l l e r   d a n n y b o y l e   d r a m a   T   r   a   i   n   s   p   o   t   t   i   n   g   f r i e n d s   t r i e s   c l e a n   d e e p l y   i m m e r s e d   a l l u r e   d r u g s   e d i n b u r g h   d r u g   s c e n e   i n f l u e n c e   d e s p i t e   g e t   r e n t o n   
The Deer Hunter,robertdeniro johncazale johnsavage michaelcimino drama  war T h e   D e e r   H u n t e r people pennsylvania disrupts lives small industrial town u depth examination vietnam war impacts ways r o b e r t d e n i r o   j o h n c a z a l e   j o h n s a v a g e   m i c h a e l c i m i n o   d r a m a     w a r   T   h   e       D   e   e   r       H   u   n   t   e   r   p e o p l e   p e n n s y l v a n i a   d i s r u p t s   l i v e s   s m a l l   i n d u s t r i a l   t o w n   u   d e p t h   e x a m i n a t i o n   v i e t n a m   w a r   i m p a c t s   w a y s   
Cool Hand Luke,paulnewman georgekennedy j.d.cannon stuartrosenberg crime  drama C o o l   H a n d   L u k e man refuses rural prison life conform p a u l n e w m a n   g e o r g e k e n n e d y   j . d . c a n n o n   s t u a r t r o s e n b e r g   c r i m e     d r a m a   C   o   o   l       H   a   n   d       L   u   k   e   m a n   r e f u s e s   r u r a l   p r i s o n   l i f e   c o n f o r m   
Gran Torino,clinteastwood christophercarley beevang clinteastwood drama G r a n   T o r i n o prized possession tried hmong teenager disgruntled korean war veteran walt kowalski sets steal 1972 gran torino neighbor reform c l i n t e a s t w o o d   c h r i s t o p h e r c a r l e y   b e e v a n g   c l i n t e a s t w o o d   d r a m a   G   r   a   n       T   o   r   i   n   o   p r i z e d   p o s s e s s i o n   t r i e d   h m o n g   t e e n a g e r   d i s g r u n t l e d   k o r e a n   w a r   v e t e r a n   w a l t   k o w a l s k i   s e t s   s t e a l   1 9 7 2   g r a n   t o r i n o   n e i g h b o r   r e f o r m   
The Big Lebowski,"jeffbridges johngoodman juliannemoore joelcoen,ethancoen comedy  crime T h e   B i g   L e b o w s k i millionaire lebowski dude help get enlists mistaken bowling buddies ruined rug seeks restitution j e f f b r i d g e s   j o h n g o o d m a n   j u l i a n n e m o o r e   j o e l c o e n , e t h a n c o e n   c o m e d y     c r i m e   T   h   e       B   i   g       L   e   b   o   w   s   k   i   m i l l i o n a i r e   l e b o w s k i   d u d e   h e l p   g e t   e n l i s t s   m i s t a k e n   b o w l i n g   b u d d i e s   r u i n e d   r u g   s e e k s   r e s t i t u t i o n   "
The Thing,kurtrussell wilfordbrimley t.k.carter johncarpenter horror  mystery  sci-fi T h e   T h i n g antarctica comes across touches alien force find members must become anything human 100 late research facility accuracy k u r t r u s s e l l   w i l f o r d b r i m l e y   t . k . c a r t e r   j o h n c a r p e n t e r   h o r r o r     m y s t e r y     s c i - f i   T   h   e       T   h   i   n   g   a n t a r c t i c a   c o m e s   a c r o s s   t o u c h e s   a l i e n   f o r c e   f i n d   m e m b e r s   m u s t   b e c o m e   a n y t h i n g   h u m a n   1 0 0   l a t e   r e s e a r c h   f a c i l i t y   a c c u r a c y   
It Happened One Night,clarkgable claudettecolbert walterconnolly frankcapra comedy  romance I t   H a p p e n e d   O n e   N i g h t reporter need spoiled heiress running away helped man story family actually c l a r k g a b l e   c l a u d e t t e c o l b e r t   w a l t e r c o n n o l l y   f r a n k c a p r a   c o m e d y     r o m a n c e   I   t       H   a   p   p   e   n   e   d       O   n   e       N   i   g   h   t   r e p o r t e r   n e e d   s p o i l e d   h e i r e s s   r u n n i n g   a w a y   h e l p e d   m a n   s t o r y   f a m i l y   a c t u a l l y   
Fargo,"williamh.macy stevebuscemi peterstormare joelcoen,ethancoen crime  drama  thriller F a r g o quite pregnant marge gunderson henchmen inept crime falls apart due bungling jerry lundegaard persistent police work w i l l i a m h . m a c y   s t e v e b u s c e m i   p e t e r s t o r m a r e   j o e l c o e n , e t h a n c o e n   c r i m e     d r a m a     t h r i l l e r   F   a   r   g   o   q u i t e   p r e g n a n t   m a r g e   g u n d e r s o n   h e n c h m e n   i n e p t   c r i m e   f a l l s   a p a r t   d u e   b u n g l i n g   j e r r y   l u n d e g a a r d   p e r s i s t e n t   p o l i c e   w o r k   "
The Sixth Sense,brucewillis haleyjoelosment tonicollette m.nightshyamalan drama  mystery  thriller T h e   S i x t h   S e n s e spirits dead seeks boy disheartened child psychologist communicates know help b r u c e w i l l i s   h a l e y j o e l o s m e n t   t o n i c o l l e t t e   m . n i g h t s h y a m a l a n   d r a m a     m y s t e r y     t h r i l l e r   T   h   e       S   i   x   t   h       S   e   n   s   e   s p i r i t s   d e a d   s e e k s   b o y   d i s h e a r t e n e d   c h i l d   p s y c h o l o g i s t   c o m m u n i c a t e s   k n o w   h e l p   
Finding Nemo,"albertbrooks ellendegeneres alexandergould andrewstanton,leeunkrich animation  adventure  comedy F i n d i n g   N e m o son taken journey great barrier reef home bring timid clownfish sets sydney captured a l b e r t b r o o k s   e l l e n d e g e n e r e s   a l e x a n d e r g o u l d   a n d r e w s t a n t o n , l e e u n k r i c h   a n i m a t i o n     a d v e n t u r e     c o m e d y   F   i   n   d   i   n   g       N   e   m   o   s o n   t a k e n   j o u r n e y   g r e a t   b a r r i e r   r e e f   h o m e   b r i n g   t i m i d   c l o w n f i s h   s e t s   s y d n e y   c a p t u r e d   "
Mary and Max,tonicollette philipseymourhoffman barryhumphries adamelliot animation  comedy  drama M a r y   a n d   M a x mary year old new york eight suburbs severely obese man living friendship two unlikely pen pals four melbourne max lonely forty girl tale t o n i c o l l e t t e   p h i l i p s e y m o u r h o f f m a n   b a r r y h u m p h r i e s   a d a m e l l i o t   a n i m a t i o n     c o m e d y     d r a m a   M   a   r   y       a   n   d       M   a   x   m a r y   y e a r   o l d   n e w   y o r k   e i g h t   s u b u r b s   s e v e r e l y   o b e s e   m a n   l i v i n g   f r i e n d s h i p   t w o   u n l i k e l y   p e n   p a l s   f o u r   m e l b o u r n e   m a x   l o n e l y   f o r t y   g i r l   t a l e   
No Country for Old Men,"tommyleejones javierbardem joshbrolin ethancoen,joelcoen crime  drama  thriller N o   C o u n t r y   f o r   O l d   M e n rio grande hunter stumbles upon mayhem ensue cash near violence drug deal gone wrong two million dollars t o m m y l e e j o n e s   j a v i e r b a r d e m   j o s h b r o l i n   e t h a n c o e n , j o e l c o e n   c r i m e     d r a m a     t h r i l l e r   N   o       C   o   u   n   t   r   y       f   o   r       O   l   d       M   e   n   r i o   g r a n d e   h u n t e r   s t u m b l e s   u p o n   m a y h e m   e n s u e   c a s h   n e a r   v i o l e n c e   d r u g   d e a l   g o n e   w r o n g   t w o   m i l l i o n   d o l l a r s   "
